"No.","Time","Source","Destination","Protocol","Length","Info"
"253","26.406606494","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"254","26.603364453","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"255","26.604981774","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"256","26.801825883","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"257","26.803311276","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"258","26.999267259","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"259","27.000550392","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"260","27.198051738","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"261","27.199739389","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"262","27.396528168","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"263","27.397910311","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"264","27.594693350","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"265","27.595893924","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"266","27.805474320","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"267","27.806870133","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"268","28.003603722","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"269","28.004733517","192.168.8.159","104.239.142.81","UDP","71","53091  >  5010 Len=29"
"270","28.206254752","104.239.142.81","192.168.8.159","UDP","121","5010  >  53091 Len=79"
"271","28.207832724","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"272","28.403861927","104.239.142.81","192.168.8.159","UDP","153","5010  >  53091 Len=111"
"273","28.405543959","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"274","28.603121264","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"275","28.604383358","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"276","28.798306561","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"277","28.799744584","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"278","28.997017811","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"279","28.998485883","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"280","29.195323732","104.239.142.81","192.168.8.159","UDP","171","5010  >  53091 Len=129"
"281","29.197902309","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"282","29.408570640","104.239.142.81","192.168.8.159","UDP","190","5010  >  53091 Len=148"
"283","29.410440511","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"284","29.607048471","104.239.142.81","192.168.8.159","UDP","128","5010  >  53091 Len=86"
"285","29.608327534","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"286","29.805640881","104.239.142.81","192.168.8.159","UDP","128","5010  >  53091 Len=86"
"287","29.806947185","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"288","30.005804624","104.239.142.81","192.168.8.159","UDP","128","5010  >  53091 Len=86"
"289","30.006170792","104.239.142.81","192.168.8.159","TCP","66","5010  >  36650 [FIN, ACK] Seq=126 Ack=161 Win=65280 Len=0 TSval=396104993 TSecr=1610751904"
"290","30.007324616","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"291","30.007462735","192.168.8.159","104.239.142.81","TCP","66","36650  >  5010 [FIN, ACK] Seq=161 Ack=127 Win=64256 Len=0 TSval=1610778703 TSecr=396104993"
"292","30.031247558","104.239.142.81","192.168.8.159","TCP","66","5010  >  36650 [ACK] Seq=127 Ack=162 Win=65280 Len=0 TSval=396105018 TSecr=1610778703"
